timestamp,abertura,maxima,minima,fechamento,volume
1712307600000,67151.2,67151.21,66383.01,66805.98,1896.92624
1712311200000,66805.99,67213.84,66708.01,67034.65,1184.71947
1712314800000,67034.66,67087.98,66388.0,66478.0,1373.76533
1712318400000,66478.0,66888.0,65952.56,66883.99,3678.85999
1712322000000,66883.99,67589.61,66524.18,67500.0,2645.03909
1712325600000,67500.01,68566.66,67314.11,68139.39,3816.29678
1712329200000,68139.39,68268.14,67628.2,68190.62,1640.95515
1712332800000,68190.62,68380.0,67680.0,67953.8,1475.64352
1712336400000,67953.79,67986.83,67358.93,67442.49,1069.21575
1712340000000,67442.49,67729.54,67316.0,67629.02,1385.22601
1712343600000,67629.01,68096.0,67382.6,67412.4,2134.09921
1712347200000,67412.41,67758.04,67342.0,67643.48,913.59767
1712350800000,67643.48,67838.07,67515.44,67515.45,657.73746
1712354400000,67515.44,67843.55,67503.31,67628.53,582.37176
1712358000000,67628.53,67966.67,67628.52,67820.62,562.88954
1712361600000,67820.63,68065.2,67686.23,67900.57,864.08882
1712365200000,67900.56,67977.73,67643.47,67689.99,752.97272
1712368800000,67689.99,67765.77,67447.83,67574.59,1037.00772
1712372400000,67574.6,67882.5,67574.59,67788.01,522.70715
1712376000000,67788.0,67819.13,67602.0,67735.84,571.42809
1712379600000,67735.84,68232.14,67720.17,68038.74,1113.53981
1712383200000,68038.75,68162.9,67845.2,68109.42,581.55984
1712386800000,68109.43,68189.33,67940.54,67992.02,803.90434
1712390400000,67992.02,68106.88,67859.53,68012.14,775.39042
1712394000000,68012.15,68120.0,67747.86,67792.0,856.29225
1712397600000,67792.0,67886.37,67714.72,67842.17,503.36071
1712401200000,67842.18,67904.35,67615.22,67668.16,507.81819
1712404800000,67668.16,67796.69,67582.3,67738.37,768.1939
1712408400000,67738.36,67745.13,67527.78,67699.99,679.92389
1712412000000,67700.0,68109.13,67684.0,67993.99,890.76678
1712415600000,67994.0,68299.0,67896.48,68104.0,1229.38347
1712419200000,68104.01,68174.0,67948.83,68143.48,592.98858
1712422800000,68143.48,68484.09,68039.94,68287.3,819.79599
1712426400000,68287.3,68379.82,68163.62,68307.28,456.49398
1712430000000,68307.28,68415.0,68218.0,68259.98,493.84003
1712433600000,68259.99,68395.0,68166.66,68390.0,437.40109
1712437200000,68390.0,68434.88,68298.82,68299.65,565.49843
1712440800000,68299.65,69101.0,68286.33,69056.0,1866.64982
1712444400000,69056.0,69692.0,68800.0,68896.0,2443.28317
1712448000000,68896.0,69150.0,68824.0,68999.99,711.73347
1712451600000,68999.99,69655.16,68998.57,69541.65,1393.28874
1712455200000,69541.65,69777.0,69300.0,69300.0,1170.74387
1712458800000,69300.01,69510.0,69250.0,69408.05,794.54542
1712462400000,69408.04,69493.98,69053.97,69304.44,765.60294
1712466000000,69304.44,69464.0,69267.07,69397.76,471.13373
1712469600000,69397.76,69414.87,69110.81,69244.09,570.3876
1712473200000,69244.08,69482.44,69213.84,69364.01,699.71269
1712476800000,69364.0,69555.0,69333.72,69479.99,790.46725
1712480400000,69479.99,69493.25,69199.01,69289.99,682.01068
1712484000000,69290.0,69495.15,69236.0,69328.14,479.75183
1712487600000,69328.14,69407.72,69200.0,69357.0,456.74728
1712491200000,69357.0,69415.59,69210.0,69335.99,537.54178
1712494800000,69336.0,69550.0,69285.71,69349.93,672.01675
1712498400000,69349.93,69664.67,69220.0,69578.44,900.17727
1712502000000,69578.44,69886.03,69360.44,69543.74,1399.12074
1712505600000,69543.73,70326.29,69483.9,70074.0,2841.73986
1712509200000,70074.01,70112.0,69658.19,69798.01,1069.84594
1712512800000,69798.02,69828.0,69234.14,69390.01,1027.88794
1712516400000,69390.01,69508.71,68849.77,69068.01,1426.15758
1712520000000,69068.01,69403.7,68960.01,69309.69,604.64834
1712523600000,69309.7,69413.1,69031.29,69031.3,483.16273
1712527200000,69031.3,69344.4,68901.0,69200.0,699.97793
1712530800000,69200.0,69477.18,69188.05,69360.39,886.34197
1712534400000,69360.38,69432.0,69043.24,69325.99,711.34576
1712538000000,69326.0,69841.03,69285.7,69437.02,927.5685
1712541600000,69437.03,69437.03,69126.36,69228.0,627.63335
1712545200000,69228.0,69500.0,69134.99,69458.95,517.01586
1712548800000,69458.95,69500.0,69280.0,69382.0,358.18285
1712552400000,69382.01,69801.0,69382.0,69701.99,644.21026
1712556000000,69702.0,69818.04,69632.73,69790.29,689.06081
1712559600000,69790.29,70850.0,69790.28,70698.63,4052.43625
1712563200000,70698.64,72111.99,70642.0,71968.0,6618.95587
1712566800000,71968.0,72650.0,71650.32,72197.25,5364.63217
1712570400000,72197.26,72374.0,71792.06,72323.98,2864.5742
1712574000000,72323.99,72647.86,72218.27,72404.0,2735.3903
1712577600000,72404.0,72797.99,72137.48,72180.02,3473.2137
1712581200000,72180.01,72310.01,71691.35,71944.31,2849.00307
1712584800000,71944.31,71985.38,71245.17,71726.0,3300.86317
1712588400000,71725.99,71987.0,71598.45,71773.98,1771.16688
1712592000000,71773.98,72021.56,71556.53,71740.1,1315.49299
1712595600000,71740.1,71800.0,71300.0,71699.23,1275.99193
1712599200000,71699.23,72104.05,71672.34,71908.61,1082.45857
1712602800000,71908.6,71973.6,71564.51,71766.0,1535.56493
1712606400000,71766.0,71818.77,71500.37,71711.99,999.79853
1712610000000,71711.98,71900.0,71628.01,71692.01,660.04808
1712613600000,71692.01,71960.0,71599.9,71916.09,641.99085
1712617200000,71916.08,72000.0,71610.01,71620.0,707.27736
1712620800000,71620.0,71758.19,71320.01,71419.99,956.13499
